serialn_long	Serialn	lat	lon	startdate	enddate
ODIN-0005 (90143)	ODINSD0005	-44.942	168.829	29/05/2019 8:00	20/08/2019 12:00
ODIN-0014 (90234)	ODINSD0014	-44.944	168.842	29/05/2019 8:00	20/08/2019 12:00
ODIN-0016 (90259)	ODINSD0016	-44.952	168.843	29/05/2019 8:00	20/08/2019 12:00
ODIN-0026 (90358)	ODINSD0026	-44.942	168.838	29/05/2019 8:00	20/08/2019 12:00
ODIN-0031 (90408)	ODINSD0031	-44.943	168.832	29/05/2019 8:00	3/07/2019 17:00
ODIN-0038 (90085)	ODINSD0038	-44.95	168.835	29/05/2019 8:00	20/08/2019 12:00
ODIN-0052 (90077)	ODINSD0052	-44.946	168.832	29/05/2019 8:00	20/08/2019 12:00
ODIN-0053 (89665)	ODINSD0053	-44.949	168.845	29/05/2019 8:00	20/08/2019 12:00
ODIN-0063 (90002)	ODINSD0063	-44.946	168.844	29/05/2019 8:00	20/08/2019 12:00
ODIN-0071 (89764)	ODINSD0071	-44.954	168.839	29/05/2019 8:00	20/08/2019 12:00
ODIN-0173 (81935)	ODINSD0173	-44.941	168.834	29/05/2019 8:00	20/08/2019 12:00
ODIN-0174 (81984)	ODINSD0174	-44.94	168.838	29/05/2019 8:00	22/07/2019 12:00
ODIN-0175 (81992)	ODINSD0175	-44.944	168.836	29/05/2019 8:00	20/08/2019 12:00
ODIN-0176 (81950)	ODINSD0176	-44.947	168.837	29/05/2019 8:00	3/07/2019 17:00
ODIN-0177 (81943)	ODINSD0177	-44.938	168.83	29/05/2019 8:00	20/08/2019 12:00
ODIN-0178 (81976)	ODINSD0178	-44.939	168.835	29/05/2019 8:00	20/08/2019 12:00
ODIN-0179 (81968)	ODINSD0179	-44.946	168.841	29/05/2019 8:00	20/08/2019 12:00
ODIN-0180 (81927)	ODINSD0180	-44.951	168.84	29/05/2019 8:00	3/07/2019 17:00
ODIN-0181 (81919)	ODINSD0181	-44.941	168.829	29/05/2019 8:00	20/08/2019 12:00
ODIN-0182 (81901)	ODINSD0182	-44.956	168.846	29/05/2019 8:00	20/08/2019 12:00
ODIN-0183  (81877)	ODINSD0183	-44.958	168.841	29/05/2019 8:00	20/08/2019 12:00
ODIN-0184  (81851)	ODINSD0184	-44.949	168.84	29/05/2019 8:00	3/07/2019 17:00
ODIN-0185  (81869)	ODINSD0185	-44.948	168.84	29/05/2019 8:00	20/08/2019 12:00
ODIN-0031 (90408)	ODINSD0031	-44.943	168.833	3/07/2019 16:00	20/08/2019 12:00
ODIN-0176 (81950)	ODINSD0176	-44.947	168.836	3/07/2019 16:00	20/08/2019 12:00
ODIN-0180 (81927)	ODINSD0180	-44.951	168.84	3/07/2019 16:00	20/08/2019 12:00
ODIN-0184  (81851)	ODINSD0184	-44.94	168.838	3/07/2019 16:00	20/08/2019 12:00
ODIN-0014 (90234)	ODINSD0014	-44.94351173	168.8420213	21/08/2019 12:00	11/09/2019 15:00
ODIN-0016 (90259)	ODINSD0016	-44.94177358	168.8380529	21/08/2019 12:00	11/09/2019 15:00
ODIN-0038 (90085)	ODINSD0038	-44.94993427	168.8347366	21/08/2019 12:00	11/09/2019 15:00
ODIN-0052 (90077)	ODINSD0052	-44.94637786	168.8322563	21/08/2019 12:00	11/09/2019 15:00
ODIN-0053 (89665)	ODINSD0053	-44.94920892	168.8444615	21/08/2019 12:00	11/09/2019 15:00
ODIN-0063 (90002)	ODINSD0063	-44.94635565	168.844224	21/08/2019 12:00	11/09/2019 15:00
